category,english,kanji,kana
100 useful adjectives (M to Z),scary,怖い,こわい
100 useful adjectives (M to Z),selfish,自分勝手,じぶんかって
100 useful adjectives (M to Z),serious,真面目で真面目な,まじめでまじめな
100 useful adjectives (M to Z),short,短い,みじかい
100 useful adjectives (M to Z),shy,恥ずかしがり,はずかしがり
100 useful adjectives (M to Z),sick,病気,びょうき
100 useful adjectives (M to Z),similar,類似,るいじ
100 useful adjectives (M to Z),simple,単純な,たんじゅんな
100 useful adjectives (M to Z),sincere,誠実な,せいじつな
100 useful adjectives (M to Z),slim,細い,こまい
100 useful adjectives (M to Z),slow,遅い,おそい
100 useful adjectives (M to Z),small,ちいさい,ちいさい
100 useful adjectives (M to Z),sociable,社交的な,しゃこうてきな
100 useful adjectives (M to Z),soft,甘い,あまい
100 useful adjectives (M to Z),solid,固体,こたい
100 useful adjectives (M to Z),solitary,ソリティア,そりてぃあ
100 useful adjectives (M to Z),spacious,広い,ひろい
100 useful adjectives (M to Z),special,特別な,とくべつな
100 useful adjectives (M to Z),specific,特定の,とくていの
100 useful adjectives (M to Z),spice,暑い,あつい
100 useful adjectives (M to Z),square,四角い,しかくい
100 useful adjectives (M to Z),sticky,ベタベタ,べたべた
100 useful adjectives (M to Z),strange,怪しい,あやしい
100 useful adjectives (M to Z),strong,強い,つよい
100 useful adjectives (M to Z),stupid,馬鹿,ばか
100 useful adjectives (M to Z),sudden,荒々しい,あらあらしい
100 useful adjectives (M to Z),suitable,相応しい,ふさわしい
100 useful adjectives (M to Z),superb,最高の,さいこうの
100 useful adjectives (M to Z),superficial,浅薄な,せんぱくな
100 useful adjectives (M to Z),superstitious,迷信的な,めいしんてきな
100 useful adjectives (M to Z),surprised,驚いた,おどろいた
100 useful adjectives (M to Z),sympathetic,友好的な,ゆうこうてきな
100 useful adjectives (M to Z),tall,高い,たかい
100 useful adjectives (M to Z),temporary,じかんてき,じかんてき
100 useful adjectives (M to Z),thick,厚い,あつい
100 useful adjectives (M to Z),tiny,小さい,ちーさい
100 useful adjectives (M to Z),together,一緒,いっしょ
100 useful adjectives (M to Z),traditional,伝統的な,でんとうてきな
100 useful adjectives (M to Z),typical,たんてき,たんてき
100 useful adjectives (M to Z),unable,不能,ふのう
100 useful adjectives (M to Z),unbelievable,凄い,すごい
100 useful adjectives (M to Z),unfair,ひどう,ひどう
100 useful adjectives (M to Z),unfortunate,悲しい,かなしい
100 useful adjectives (M to Z),unknown,未知,みち
100 useful adjectives (M to Z),unlimited,無制限,むせいげん
100 useful adjectives (M to Z),unpleasant,嫌い,きらい
100 useful adjectives (M to Z),unpredictable,予測不能,よそくふのう
100 useful adjectives (M to Z),various,様々,さまざま
100 useful adjectives (M to Z),vast,巨大な,きょだいな
100 useful adjectives (M to Z),vulgar,低俗な,ていぞくな
100 useful adjectives (M to Z),warm,温かい,あたたかい
100 useful adjectives (M to Z),weird,変な,へんな
100 useful adjectives (M to Z),welcoming,手厚い,てあつい
100 useful adjectives (M to Z),well,良い,よい
100 useful adjectives (M to Z),wet,びしょびしょ,びしょびしょ
100 useful adjectives (M to Z),whole,全部,ぜんぶ
100 useful adjectives (M to Z),wild,野生の,やせいの
100 useful adjectives (M to Z),wonderful,不思議,ふしぎ
100 useful adjectives (M to Z),worst,悪い,わるい
100 useful adjectives (M to Z),young,若い,わかい
100 useful adverbs,accidentally,偶然,ぐうぜん
100 useful adverbs,after all,やっぱり,やっぱり
100 useful adverbs,again,また,また
100 useful adverbs,alone,独りで,ひとりで
100 useful adverbs,already,すでに,すでに
100 useful adverbs,always,いつも,いつも
100 useful adverbs,anytime,どんなときも,どんなときも
100 useful adverbs,anyway,とにかく,とにかく
100 useful adverbs,apparently,どうやら,どうやら
100 useful adverbs,as much as possible,なるべく,なるべく
100 useful adverbs,at first,最初に,さいしょに
100 useful adverbs,automatically,自動的に,じどうてきに
100 useful adverbs,away,離れて,はなれて
100 useful adverbs,barely,わずかに,わずかに
100 useful adverbs,by now,そろそろ,そろそろ
100 useful adverbs,calmly,落ち着いて,おちついて
100 useful adverbs,carefully,注意深く,ちゅういぶかく
100 useful adverbs,carelessly,うっかり,うっかり
100 useful adverbs,clearly,はっきり,はっきり
100 useful adverbs,comfortably,快適に,かいてきに
100 useful adverbs,commonly,一般的に,いっぱんてきに
100 useful adverbs,constantly,一定して,いっていして
100 useful adverbs,correctly,正しく,ただしく
100 useful adverbs,currently,現在,げんざい
100 useful adverbs,delicately,繊細に,せんさいに
100 useful adverbs,desperately,必死に,ひっしに
100 useful adverbs,easily,簡単に,かんたんに
100 useful adverbs,especially,とくに,とくに
100 useful adverbs,exactly,丁度,ちょうど
100 useful adverbs,exceptionally,例外的に,れいがいてきに
100 useful adverbs,extremely,すごく,すごく
100 useful adverbs,first of all,まず第一に,まずだいいちに
100 useful adverbs,for a while,暫く,しばらく
100 useful adverbs,formerly,昔,むかし
100 useful adverbs,fortnightly,二週に一度,にしゅうにいちど
100 useful adverbs,fortunately,幸運なことに,こううんなことに
100 useful adverbs,frankly,率直に,そっちょくに
100 useful adverbs,freely,自由に,じゆうに
100 useful adverbs,frequently,頻繁に,ひんぱんに
100 useful adverbs,gradually,徐々に,じょじょに
100 useful adverbs,hard,ハード,はーど
100 useful adverbs,hard,激しく,はげしく
100 useful adverbs,here,ここ,ここ
100 useful adverbs,home,家,いえ
100 useful adverbs,honestly,正直に,しょうじきに
100 useful adverbs,hourly,一時間毎に,いちじかんごとに
100 useful adverbs,in general,一般に,いっぱんに
100 useful adverbs,in the future,未来に,みらいに
100 useful adverbs,last,最後に,さいごに
100 useful adverbs,long,長いです,ながいです
100 useful adverbs,more,もっと,もっと
100 useful adverbs,most,もっとも,もっとも
100 useful adverbs,mostly,大方は,おおかたは
100 useful adverbs,needlessly,むやみに,むやみに
100 useful adverbs,never,決して,けっして
100 useful adverbs,next,次の,つぎの
100 useful adverbs,now,今,いま
100 useful adverbs,nowhere,どこにも,どこにも
100 useful adverbs,obviously,明らかに,あきらかに
100 useful adverbs,occasionally,たまに,たまに
100 useful adverbs,one after another,次々に,つぎつぎに
100 useful adverbs,only,のみ,のみ
100 useful adverbs,other day,先日,せんじつ
100 useful adverbs,otherwise,さもないと,さもないと
100 useful adverbs,out,外で,そとで
100 useful adverbs,over there,あそこ,あそこ
100 useful adverbs,patiently,辛抱強く,しんぼうつよく
100 useful adverbs,quietly,静かに,しずかに
100 useful adverbs,quite,なかなか,なかなか
100 useful adverbs,randomly,無作為に,むさくいに
100 useful adverbs,rarely,まれに,まれに
100 useful adverbs,rather,むしろ,むしろ
100 useful adverbs,really,本当に,ほんとうに
100 useful adverbs,reasonably,そこそこ,そこそこ
100 useful adverbs,separately,別々に,べつべつに
100 useful adverbs,seriously,ほんきで,ほんきで
100 useful adverbs,silently,もくもくと,もくもくと
100 useful adverbs,simply,単に,たんに
100 useful adverbs,slowly,ゆっくり,ゆっくり
100 useful adverbs,sometimes,時々,ときどき
100 useful adverbs,somewhere,どこかに,どこかに
100 useful adverbs,soon,もうすぐ,もうすぐ
100 useful adverbs,strictly,厳密に,げんみつに
100 useful adverbs,strongly,強く,つよく
100 useful adverbs,stupidly,愚かに,おろかに
100 useful adverbs,suddenly,突然,とつぜん
100 useful adverbs,surprisingly,意外と,いがいと
100 useful adverbs,then,そのとき,そのとき
100 useful adverbs,there,そこ,そこ
100 useful adverbs,today,今日,きょう
100 useful adverbs,together,一緒に,いっしょに
100 useful adverbs,tomorrow,明日,あした
100 useful adverbs,tonight,今夜,こんや
100 useful adverbs,weekly,週一度,しゅういちど
100 useful adverbs,well,上手,じょうず
100 essential verbs to know,to accept,受け入れる,うけいれる
100 essential verbs to know,to add,追加する,ついかする
100 essential verbs to know,to allow,許す,ゆるす
100 essential verbs to know,to answer,答える,こたえる
100 essential verbs to know,to arrive,着く,つく
100 essential verbs to know,to ask,尋ねる,たずねる
100 essential verbs to know,to be,です,です
100 essential verbs to know,to be early,早くなる,はやくなる
100 essential verbs to know,to be hungry,お腹がすく,おはらがすく
100 essential verbs to know,to be late,遅くなる,おそくなる
100 essential verbs to know,to become,なる,なる
100 essential verbs to know,to believe,信じる,しんじる
100 essential verbs to know,to borrow,借りる,かりる
100 essential verbs to know,to break,壊す,こわす
100 essential verbs to know,to buy,買う,かう
100 essential verbs to know,to carry,持つ,もつ
100 essential verbs to know,to change,変える,かえる
100 essential verbs to know,to clean,掃除する,そうじする
100 essential verbs to know,to come,来る,くる
100 essential verbs to know,to come back,戻ってくる,もどってくる
100 essential verbs to know,to continue,続ける,つづける
100 essential verbs to know,to decide,決める,きめる
100 essential verbs to know,to do,する,する
100 essential verbs to know,to do laundry,洗濯する,せんたくする
100 essential verbs to know,to drop,おとす,おとす
100 essential verbs to know,to end,終わる,おわる
100 essential verbs to know,to exercise,運動する,うんどうする
100 essential verbs to know,to exist,存在する,そんざいする
100 essential verbs to know,to explain,説明する,せつめいする
100 essential verbs to know,to find,見つける,みつける
100 essential verbs to know,to forget,忘れる,わすれる
100 essential verbs to know,to gain weight,太る,ふとる
100 essential verbs to know,to get tired,疲れる,つかれる
100 essential verbs to know,to have,持っている,もっている
100 essential verbs to know,to have or to hold,持つ,もつ
100 essential verbs to know,to hear,聞く,きく
100 essential verbs to know,to help,手伝う,てつだう
100 essential verbs to know,to hurry,急ぐ,いそぐ
100 essential verbs to know,to introduce,紹介する,しょうかいする
100 essential verbs to know,to keep,保つ,たもつ
100 essential verbs to know,to learn,学ぶ,まなぶ
100 essential verbs to know,to lend,貸す,かす
100 essential verbs to know,to live,生きる,いきる
100 essential verbs to know,to lose,失う,うしなう
100 essential verbs to know,to love,愛する,あいする
100 essential verbs to know,to make,作る,つくる
100 essential verbs to know,to make a mistake,間違う,まちがう
100 essential verbs to know,to meet,会う,あう
100 essential verbs to know,to need,必要とする,ひつようとする
100 essential verbs to know,to pay,払う,はらう
100 essential verbs to know,to perform,遣る,やる
100 essential verbs to know,to play,遊ぶ,あそぶ
100 essential verbs to know,to practice,練習する,れんしゅうする
100 essential verbs to know,to prepare,準備する,じゅんびする
100 essential verbs to know,to put,置く,おく
100 essential verbs to know,to read,読む,よむ
100 essential verbs to know,to receive,貰う,もらう
100 essential verbs to know,to receive,受け取る,うけとる
100 essential verbs to know,to recognize,認める,みとめる
100 essential verbs to know,to refuse,拒否する,きょひする
100 essential verbs to know,to remember,覚える,おぼえる
100 essential verbs to know,to return an item,返す,かえす
100 essential verbs to know,to run,走る,はしる
100 essential verbs to know,to say,言う,いう
100 essential verbs to know,to sell,売る,うる
100 essential verbs to know,to send,送る,おくる
100 essential verbs to know,to show,示す,しめす
100 essential verbs to know,to skip,跳躍,ちょうやく
100 essential verbs to know,to smell,嗅ぐ,かぐ
100 essential verbs to know,to smoke,煙草を吸う,たばこをすう
100 essential verbs to know,to speak,話す,はなす
100 essential verbs to know,to stand,立つ,たつ
100 essential verbs to know,to stay,滞在する,たいざいする
100 essential verbs to know,to study,勉強する,べんきょうする
100 essential verbs to know,to succeed,成功する,せいこうする
100 essential verbs to know,to switch off,消す,けす
100 essential verbs to know,to taste,味わう,あじわう
100 essential verbs to know,to throw,投げる,なげる
100 essential verbs to know,to touch,触る,ふる
100 essential verbs to know,to try,試す,ためす
100 essential verbs to know,to understand,分かる,わかる
100 essential verbs to know,to use,使う,つかう
100 essential verbs to know,to wait,待つ,まつ
100 essential verbs to know,to wake up,起きる,おきる
100 essential verbs to know,to wash up,洗う,あらう
100 essential verbs to know,to wear,着る,きる
100 essential verbs to know,to win,勝つ,かつ
100 action and movement verbs,to accelerate,加速する,かそくする
100 action and movement verbs,to accompany,同行する,どうこうする
100 action and movement verbs,to applaud,拍手する,はくしゅする
100 action and movement verbs,to approach,近づく,ちかづく
100 action and movement verbs,to arrive,到着する,とうちゃくする
100 action and movement verbs,to back,後ろへ,うしろへ
100 action and movement verbs,to bite,かむ,かむ
100 action and movement verbs,to blink,まばたきする,まばたきする
100 action and movement verbs,to blow,吹く,ふく
100 action and movement verbs,to break,壊れる,こわれる
100 action and movement verbs,to breathe,呼吸する,こきゅうする
100 action and movement verbs,to bring a person,連れてくる,つれてくる
100 action and movement verbs,to bring an item,持ってくる,もってくる
100 action and movement verbs,to build,建設する,けんせつする
100 action and movement verbs,to catch,捕らえる,とらえる
100 action and movement verbs,to chew,噛む,かむ
100 action and movement verbs,to choose,選ぶ,えらぶ
100 action and movement verbs,to close,閉める,しめる
100 action and movement verbs,to continue,継続する,けいぞくする
100 action and movement verbs,to cook,料理する,りょうりする
100 action and movement verbs,to cook,料理する,りょうりする
100 action and movement verbs,to count,数える,かぞえる
100 action and movement verbs,to crawl,這う,はう
100 action and movement verbs,to cry,泣く,なく
100 action and movement verbs,to dance,踊る,おどる
100 action and movement verbs,to dive,飛び込む,とびこむ
100 action and movement verbs,to dodge,身をかわす,みをかわす
100 action and movement verbs,to dream,夢見る,ゆめみる
100 action and movement verbs,to drink,飲む,のむ
100 action and movement verbs,to drive,運転する,うんてんする
100 action and movement verbs,to drive,運転する,うんてんする
100 action and movement verbs,to eat,食べる,たべる
100 action and movement verbs,to eat,食べる,たべる
100 action and movement verbs,to enter,入る,いる
100 action and movement verbs,to escape,逃げる,にげる
100 action and movement verbs,to fall,落ちる,おちる
100 action and movement verbs,to feel,感じる,かんじる
100 action and movement verbs,to float,浮く,うく
100 action and movement verbs,to fly,飛ぶ,とぶ
100 action and movement verbs,to fold,折る,おる
100 action and movement verbs,to follow,従う,したがう
100 action and movement verbs,to get off,下がる,さがる
100 action and movement verbs,to get up,起き上がる,おきあがる
100 action and movement verbs,to give,あげる,あげる
100 action and movement verbs,to go,行く,いく
100 action and movement verbs,to go out,出かける,でかける
100 action and movement verbs,to go to bed,寝る,ねる
100 action and movement verbs,to grow,成長する,せいちょうする
100 action and movement verbs,to hang out,たむろする,たむろする
100 action and movement verbs,to hug,抱擁する,ほうようする
100 action and movement verbs,to increase,増加する,ぞうかする
100 action and movement verbs,to jump,飛び上がる,とびあがる
100 action and movement verbs,to kick,蹴る,ける
100 action and movement verbs,to kiss,キスをする,きすをする
100 action and movement verbs,to knock,叩く,たたく
100 action and movement verbs,to laugh,笑う,わらう
100 action and movement verbs,to launch,発射する,はっしゃする
100 action and movement verbs,to leave,去る,さる
100 action and movement verbs,to leave,出発する,しゅっぱつする
100 action and movement verbs,to lick,なめる,なめる
100 action and movement verbs,to lie down,横になる,よこになる
100 action and movement verbs,to lift,持ち上げる,もちあげる
100 action and movement verbs,to listen,聞く,きく
100 action and movement verbs,to lose weight,痩せる,やせる
100 action and movement verbs,to move,移動する,いどうする
100 action and movement verbs,to move forward,前進する,ぜんしんする
100 action and movement verbs,to open,開ける,ひらける
100 action and movement verbs,to park,駐車する,ちゅうしゃする
100 action and movement verbs,to pass,通り過ぎる,とうりすぎる
100 action and movement verbs,to pick up,拾う,ひろう
100 action and movement verbs,to pour,注ぐ,そそぐ
100 action and movement verbs,to push,押す,おす
100 action and movement verbs,to read,詠む,よむ
100 action and movement verbs,to repair,修理する,しゅうりする
100 action and movement verbs,to repeat,繰り返す,くりかえす
100 action and movement verbs,to return home,返る,かえる
100 action and movement verbs,to ride,乗る,のる
100 action and movement verbs,to search,探索する,たんさくする
100 action and movement verbs,to search,探す,さがす
100 action and movement verbs,to see,見る,みる
100 action and movement verbs,to shoot,撃つ,うつ
100 action and movement verbs,to shout,大声で叫ぶ,おおごえでさけぶ
100 action and movement verbs,to shrug shoulders,肩をすくめる,かたをすくめる
100 action and movement verbs,to sing,歌う,うたう
100 action and movement verbs,to sit down,座る,すわる
100 action and movement verbs,to sleep,眠る,ねむる
100 action and movement verbs,to slide,滑る,すべる
100 action and movement verbs,to sniff,嗅ぐ,かぐ
100 action and movement verbs,to spread,広がる,ひろがる
100 action and movement verbs,to squat,しゃがむ,しゃがむ
100 action and movement verbs,to stop,やめる,やめる
100 action and movement verbs,to swallow,飲み込む,のみこむ
100 action and movement verbs,to swim,泳ぐ,およぐ
100 action and movement verbs,to take,取る,とる
100 action and movement verbs,to take a bath,お風呂に入る,おふろにいる
100 action and movement verbs,to take away,持ち去る,もちさる
100 action and movement verbs,to talk,話す,はなす
100 action and movement verbs,to teach,教える,おしえる
100 action and movement verbs,to to sweat,汗をかく,あせをかく
100 action and movement verbs,to touch,触れる,ふれる
100 action and movement verbs,to turn,回す,まわす
100 action and movement verbs,to turn around,向きを変える,むきをかえる
100 action and movement verbs,to turn on,つける,つける
100 action and movement verbs,to visit,訪問する,ほうもんする
100 action and movement verbs,to walk,歩く,あるく
100 action and movement verbs,to walk away,立ち去る,たちさる
100 action and movement verbs,to watch,見る,みる
100 action and movement verbs,to whisper,ささやく,ささやく
100 action and movement verbs,to whistle,口笛を吹く,くちぶえをふく
100 action and movement verbs,to work,働く,はたらく
100 action and movement verbs,to work for,勤める,つとめる
100 action and movement verbs,to write,書く,かく
100 action and movement verbs,to write,書く,かく
100 action and movement verbs,to yawn,あくびをする,あくびをする
Love and Marriage ❤,single,シングル,しんぐる
Love and Marriage ❤,divorced,離婚した,りこんした
Love and Marriage ❤,in love,恋愛中,れんあいなか
Love and Marriage ❤,the flowers,あの花,あのはな
Love and Marriage ❤,i love you,愛してる,いとしてる
Love and Marriage ❤,the friendship,友情,ゆうじょう
Love and Marriage ❤,the friend,友だち,ともだち
Love and Marriage ❤,love,愛,あい
Love and Marriage ❤,the aperitif,食前酒,しょくぜんしゅ
Love and Marriage ❤,the bride,花嫁,はなよめ
Love and Marriage ❤,the passion,情熱,じょうねつ
Love and Marriage ❤,happiness,幸福,こうふく
Love and Marriage ❤,the boyfriend,彼氏,かれし
Love and Marriage ❤,the groom,新郎,しんろう
Love and Marriage ❤,the first love,初恋,はつこい
Love and Marriage ❤,the witness,証人,しょうにん
Love and Marriage ❤,the engagement,婚約,こんやく
Love and Marriage ❤,the newlyweds,新婚夫婦,しんこんふうふ
Love and Marriage ❤,marry,結婚する,けっこんする
Love and Marriage ❤,the kiss,キス,きす
Love and Marriage ❤,the bouquet,花束,はなたば
Love and Marriage ❤,the gift,贈り物,おくりもの
Love and Marriage ❤,the heart,心臓,しんぞう
Love and Marriage ❤,the compliment,褒め言葉,ほめことば
Love and Marriage ❤,the costume,そのコスチューム,そのこすちゅーむ
